dataset,AUC_AIF,AUC_LassoFS,AP_AIF,AP_LassoFS,runtime_s,memory_MB,anomaly_ratio,last_selected_features,Prec@1%_AIF,Prec@1%_LassoFS,Prec@2%_AIF,Prec@2%_LassoFS,Prec@5%_AIF,Prec@5%_LassoFS,AUC_diff,AP_diff
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.6659593876254614,0.010645370385398478,0.014157688309290184,223.5227210521698,56.77734375,0.010291415619290908,2,0.002617801047120419,0.006806282722513089,0.0075916230366492145,0.008900523560209424,0.00460684745052874,0.004711548528949848,-0.10684248492682602,-0.0035123179238917054
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.9210032443954668,0.010371377864682113,0.00708946687728857,341.2811670303345,34.19921875,0.00012473926029618645,53,0.007623007623007623,0.00693000693000693,0.004851004851004851,0.004158004158004158,0.002079002079002079,0.0021483021483021483,0.003785384741560982,0.0032819109873935435
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.7006580457503525,0.015146599370935602,0.019722327273427723,193.14367032051086,33.2734375,0.01279598041862813,53,0.04286553141514973,0.002935995302407516,0.025535661872615203,0.007924860581156443,0.010331063629960084,0.009274477576895986,-0.11994787307892063,-0.004575727902492121
Tuesday-WorkingHours.npz,0.6052959927879411,0.7020803568933154,0.03864480678744831,0.05056127403820214,520.5591793060303,22.34375,0.031026509893274188,13,0.0,0.0,0.015025790535994617,0.0,0.05732226956716752,0.047140614487553266,-0.09678436410537428,-0.011916467250753827
backdoor.npz,0.5963380148386174,0.7594009704658883,0.027625146191070565,0.049030778374679895,146.66327619552612,48.08203125,0.02443118043827167,137,0.002098635886673662,0.002098635886673662,0.004197271773347324,0.01993704092339979,0.005245488879563575,0.026856903063365505,-0.1630629556272709,-0.02140563218360933
campaign.npz,0.7130010091830112,0.768520180004189,0.2974125998622045,0.34568968727918836,51.18082642555237,-53.65625,0.11265417111780131,20,0.6618004866180048,0.6690997566909975,0.5795868772782503,0.6014580801944107,0.4424477901894123,0.47984458474987857,-0.055519170821177743,-0.04827708741698389
celeba.npz,0.7872573682934594,0.8385983265215202,0.09646538483721136,0.1380614585585686,227.69581055641174,-44.3671875,0.022443348683853327,12,0.16641975308641976,0.2237037037037037,0.14119970377684524,0.20513453468279438,0.12538256491262711,0.16822983512686346,-0.05134095822806084,-0.04159607372135725
census.npz,0.6640788103752422,0.7999973670625673,0.09166539355543213,0.26343219435363435,346.7869231700897,100.984375,0.062041198189017155,7,0.08622994652406417,0.4842914438502674,0.08705096073517127,0.43759398496240604,0.09055065490510558,0.34997326917936383,-0.1359185566873251,-0.17176680079820222
cover.npz,0.8459589406083023,0.8582257054597533,0.04308704444722577,0.04982581561284178,324.8559100627899,-100.6328125,0.009603283365029646,7,0.07272727272727272,0.09965034965034965,0.06398601398601399,0.08041958041958042,0.049643406516571106,0.059152566074674874,-0.01226676485145095,-0.0067387711656160115
donors.npz,0.7285119295973419,0.8366437084723948,0.12071910411489759,0.19286774446378266,709.6609015464783,30.76953125,0.05927411411760527,7,0.22283222993702567,0.29807847569836915,0.18149523655740352,0.2448732439851445,0.1370212491119292,0.19343796421882065,-0.10813177887505288,-0.07214864034888507
fraud.npz,0.94359164352947,0.9470584055329676,0.12447827141080994,0.2894181259136493,326.795446395874,48.4140625,0.001727485630620034,20,0.09445224719101124,0.13026685393258428,0.058462078651685394,0.07110252808988764,0.029073033707865167,0.029985955056179774,-0.0034667620034976032,-0.16493985450283935
http.npz,0.917001984023586,0.8256966982306975,0.02316585031290262,0.011380184364901843,628.7293725013733,65.48828125,0.003896048972859816,2,0.0014099400775467042,0.0005287275290800141,0.0025552912150850295,0.00044056745087672923,0.0020793684358920137,0.00148022837809262,0.09130528579288855,0.011785665948000776
insects.npz,0.7729105476895338,0.7669105987502397,0.1254318513211201,0.12831679929501116,243.12942266464233,-147.21484375,0.05505990193587246,14,0.034823529411764705,0.0531764705882353,0.05788235294117647,0.08,0.1004235294117647,0.13185882352941178,0.00599994893929412,-0.00288494797389105
mammography.npz,0.8680805850745428,0.8625279051260925,0.30771624259706637,0.17020071475226767,12.498245477676392,0.11328125,0.023249575248144506,4,0.5225225225225225,0.2972972972972973,0.37668161434977576,0.20179372197309417,0.2075134168157424,0.16457960644007155,0.005552679948450323,0.1375155278447987
mulcross.npz,0.9763467879159038,0.963385822383103,0.6569661210237204,0.5558800160267023,304.6682333946228,34.66796875,0.09999847412109375,3,0.33384204502098436,0.10415871804654712,0.5141167493323159,0.2958794353300267,0.6784924086366064,0.5370412756542305,0.012960965532800794,0.10108610499701809
nyc_taxi.npz,0.6192066738567994,0.6364565091041114,0.09240712606725056,0.0942416798980674,12.115242719650269,0.0078125,0.05193798449612403,1,0.14563106796116504,0.13592233009708737,0.16019417475728157,0.14563106796116504,0.07945736434108527,0.07945736434108527,-0.01724983524731205,-0.0018345538308168347
nyc_taxi_shingle.npz,0.6813452188068593,0.666355274311405,0.2153844129732366,0.2227082302057382,11.942059755325317,0.2734375,0.052175605957363966,9,0.4019607843137255,0.5,0.3170731707317073,0.32195121951219513,0.21052631578947367,0.1968810916179337,0.014989944495454322,-0.0073238172325016115
shuttle.npz,0.996147481557389,0.9982473182571667,0.9482699278571912,0.984281445755019,56.553587675094604,0.7890625,0.0715114976475141,4,0.9836734693877551,0.9979591836734694,0.9898063200815495,0.9979612640163099,0.9731051344743277,0.993480032599837,-0.0020998366997777573,-0.03601151789782775
smtp.npz,0.8950786325505119,0.7975684881105061,0.002263510033788161,0.002049092304834556,107.96160078048706,0.44140625,0.0003152717642607928,2,0.0,0.004206098843322818,0.0,0.0021019442984760903,0.002522598276224511,0.0021021652301870925,0.09751014444000583,0.0002144177289536051
