dataset,run,AUC_Original,AUC_GlobalLS
Friday-WorkingHours-Morning.npz,3,0.5845136263465968,0.5146002595031346
Friday-WorkingHours-Morning.npz,0,0.5591169026986353,0.5133157998573936
Friday-WorkingHours-Morning.npz,1,0.5389157662738374,0.5159245544248038
Friday-WorkingHours-Morning.npz,2,0.5511736593605625,0.5115820116430707
Friday-WorkingHours-Morning.npz,5,0.5799024463228467,0.5100567109375841
Friday-WorkingHours-Morning.npz,4,0.5144125370768438,0.5126366873631286
Friday-WorkingHours-Morning.npz,9,0.5422845562221396,0.5014818658078124
Friday-WorkingHours-Morning.npz,6,0.5300162166995105,0.5119315112399588
Friday-WorkingHours-Morning.npz,8,0.54598484631345,0.5181363955435693
Friday-WorkingHours-Morning.npz,7,0.5166856780321504,0.5052366452405593
Thursday-WorkingHours-Afternoon-Infilteration.npz,0,0.9247886291370278,0.8683466020097848
Thursday-WorkingHours-Afternoon-Infilteration.npz,1,0.9143895542479402,0.8685448043081998
Thursday-WorkingHours-Afternoon-Infilteration.npz,4,0.9152616828655413,0.8728470167040546
Thursday-WorkingHours-Afternoon-Infilteration.npz,3,0.9219216266334603,0.8670478427041917
Thursday-WorkingHours-Afternoon-Infilteration.npz,5,0.9141924589560485,0.8579947433554581
Thursday-WorkingHours-Afternoon-Infilteration.npz,2,0.9355300578261704,0.8631869889961626
Thursday-WorkingHours-Afternoon-Infilteration.npz,6,0.9262785636561479,0.8670418744951087
Thursday-WorkingHours-Afternoon-Infilteration.npz,7,0.9097909047573942,0.8607657250757963
Thursday-WorkingHours-Morning-WebAttacks.npz,0,0.5807101726714319,0.5503993339833345
Thursday-WorkingHours-Morning-WebAttacks.npz,1,0.5162687604931062,0.5504808214190995
Thursday-WorkingHours-Morning-WebAttacks.npz,2,0.62455179455642,0.5523644502585985
Thursday-WorkingHours-Morning-WebAttacks.npz,3,0.5610102530106194,0.5574670878255474
Thursday-WorkingHours-Morning-WebAttacks.npz,4,0.5663231754554836,0.5491898686436827
Thursday-WorkingHours-Morning-WebAttacks.npz,5,0.6082168556939527,0.5531030574821214
Thursday-WorkingHours-Afternoon-Infilteration.npz,8,0.9244282744482872,0.8722504845800729
Thursday-WorkingHours-Afternoon-Infilteration.npz,9,0.9280209919240505,0.8600524278289504
Thursday-WorkingHours-Morning-WebAttacks.npz,6,0.6098725381804788,0.5627833350079756
Thursday-WorkingHours-Morning-WebAttacks.npz,7,0.6297754836634015,0.5424496900930021
Thursday-WorkingHours-Morning-WebAttacks.npz,9,0.6171581209728809,0.547236646692058
Thursday-WorkingHours-Morning-WebAttacks.npz,8,0.5726957864038036,0.5515757974160762
Tuesday-WorkingHours.npz,0,0.6052959927879411,0.5347282885136835
Tuesday-WorkingHours.npz,1,0.6093008956979736,0.5346988536623113
Tuesday-WorkingHours.npz,4,0.5960002163291112,0.5352612133281142
Tuesday-WorkingHours.npz,2,0.6070805732876684,0.537414988138861
Tuesday-WorkingHours.npz,3,0.6116669184812955,0.5327518404732432
Tuesday-WorkingHours.npz,5,0.6165810330756916,0.5358577738575176
backdoor.npz,0,0.5963380148386174,0.6014975530593683
backdoor.npz,1,0.5916618351131364,0.5900644722687757
backdoor.npz,2,0.6325720069991736,0.5889986264814379
backdoor.npz,3,0.7022190819817449,0.5858096210935517
backdoor.npz,4,0.6643910742069373,0.6006256896448241
backdoor.npz,5,0.7033988882579167,0.5776682110093861
Tuesday-WorkingHours.npz,6,0.6191077855646938,0.5350039587427684
Tuesday-WorkingHours.npz,7,0.617991759479541,0.5333315580258418
backdoor.npz,6,0.6549705305244302,0.588456121275918
Tuesday-WorkingHours.npz,9,0.6061803296189782,0.5328431766059348
Tuesday-WorkingHours.npz,8,0.6244573027275898,0.5381236401234253
backdoor.npz,7,0.6877577321015527,0.5952551304958055
backdoor.npz,9,0.6922158824914473,0.5974986057055268
campaign.npz,0,0.7130010091830112,0.6462487775877165
backdoor.npz,8,0.5478559028980088,0.5874527371108557
campaign.npz,1,0.693771160764493,0.6280236423852619
campaign.npz,2,0.7161885509325479,0.628073933476241
campaign.npz,3,0.7087610046589653,0.6637247061493058
campaign.npz,4,0.7207950933915909,0.6216913757486612
campaign.npz,6,0.708562939077755,0.6387372310103293
campaign.npz,5,0.7026242650194549,0.6287847724107739
campaign.npz,7,0.7065615205369981,0.632672468043914
campaign.npz,8,0.7028581361355686,0.6279634711602691
campaign.npz,9,0.7173388332254607,0.6433921539883308
celeba.npz,0,0.7872573682934594,0.6088800562963804
celeba.npz,1,0.7939965370471757,0.6216107422028406
celeba.npz,2,0.7878683700332063,0.6127464803868812
celeba.npz,3,0.7912043538283243,0.6199529580418088
celeba.npz,4,0.7885007588826096,0.615700086868976
celeba.npz,5,0.788090154693475,0.6121911772989125
celeba.npz,6,0.7879422210775886,0.6166229328775535
celeba.npz,7,0.7852336330301828,0.6184218008940399
celeba.npz,8,0.7865813157608371,0.6102393670186632
celeba.npz,9,0.7836099832958011,0.6130932924689555
census.npz,0,0.6640788103752422,0.5261667851930409
census.npz,1,0.664354840592178,0.5292627067868863
census.npz,2,0.6573907166701827,0.5272117561941393
census.npz,3,0.6559940033926204,0.5263163648477014
census.npz,5,0.6718601244972872,0.5257667292302953
census.npz,4,0.6596156532641579,0.5260729598178255
cover.npz,0,0.8459589406083023,0.7225190169788411
cover.npz,1,0.8389705476576192,0.6215972428444854
census.npz,6,0.6725185428414486,0.5238710557187914
census.npz,7,0.6556458912423337,0.5247914816309218
census.npz,8,0.6732713628840048,0.5263475580520017
census.npz,9,0.6723551198234443,0.5252841203439723
cover.npz,2,0.8529887648700395,0.6943596391250698
cover.npz,3,0.8747715641689188,0.7245552381268106
cover.npz,4,0.8973289181208135,0.6354674378543538
cover.npz,5,0.8536806483615844,0.6594588885226566
cover.npz,6,0.8644652920007886,0.6941172049835425
cover.npz,7,0.8556983813507768,0.7077605499768244
cover.npz,8,0.7980380905079589,0.614426485563681
cover.npz,9,0.9019321445586873,0.6859591494417444
donors.npz,0,0.7285119295973419,0.6721219726905522
donors.npz,1,0.7305922731389749,0.6697552495097614
donors.npz,3,0.7441376942493627,0.67137296416639
donors.npz,2,0.7416031890899304,0.6716023086688198
donors.npz,4,0.7373073947963469,0.6700423350408973
donors.npz,5,0.7293128008549249,0.6692303562065905
fraud.npz,0,0.94359164352947,0.8764527964731664
fraud.npz,1,0.9455207702895663,0.8749833825387477
fraud.npz,2,0.9454057098297448,0.8776105427550943
fraud.npz,3,0.9437324290632069,0.8710284053142133
donors.npz,6,0.7193786886929439,0.6694963602895773
donors.npz,7,0.7385311959200715,0.6712187928230614
fraud.npz,5,0.9388041454364212,0.8735787441760248
fraud.npz,4,0.9436451632643227,0.8677030543673002
donors.npz,9,0.7366083840200632,0.6716772401952171
donors.npz,8,0.7311289576084485,0.6703747162307234
fraud.npz,6,0.9448255606221715,0.8738307262255923
fraud.npz,7,0.9447610531316962,0.8739369793237177
fraud.npz,8,0.946150385843939,0.8751847651515573
fraud.npz,9,0.9441817403375308,0.8777336170561995
http.npz,1,0.9177900300683949,0.5159156543190262
http.npz,0,0.917001984023586,0.5341285143168635
http.npz,2,0.9175248837568697,0.4828827450630524
http.npz,3,0.9180545243014395,0.502281480586227
http.npz,4,0.9413157206887741,0.4882938779167003
http.npz,5,0.9389079236998121,0.4746788872926727
insects.npz,0,0.7729105476895338,0.6117165644141822
insects.npz,1,0.7655002247502225,0.6077366818301176
insects.npz,2,0.7454193634931094,0.6122575111370637
insects.npz,3,0.7486569092196157,0.6084661364756265
http.npz,7,0.9003973815866224,0.4871142159391908
http.npz,6,0.9344835080019155,0.5092220559150065
insects.npz,4,0.7456869155402219,0.6131793424756993
insects.npz,5,0.7683226916836543,0.6090597609104598
http.npz,8,0.8997644782139167,0.5170027555564434
http.npz,9,0.9452415995855732,0.5217351035153426
mammography.npz,0,0.8680805850745428,0.7513352206705681
mammography.npz,1,0.8748325692434453,0.7622863541292544
mammography.npz,2,0.8676214269114572,0.7514024746653145
mammography.npz,3,0.8546878851259516,0.736759061683533
mammography.npz,4,0.8654099676758288,0.7660994091507687
mammography.npz,5,0.8661995859125767,0.7658599708448651
mammography.npz,6,0.8738515764195522,0.7616391664730034
mammography.npz,7,0.8683575236445327,0.7583021711420502
mammography.npz,8,0.8750367960337748,0.7529704434538271
mammography.npz,9,0.8649215839548164,0.7573944182705512
insects.npz,6,0.7506646989686948,0.6173583678986234
insects.npz,7,0.7522941056842207,0.6095449214565387
insects.npz,8,0.765678797842143,0.6083717321767981
insects.npz,9,0.7582756238612882,0.610276925349646
mulcross.npz,0,0.9763467879159038,0.8133039931860411
mulcross.npz,1,0.9791680923290541,0.8133431194512007
mulcross.npz,2,0.9788739983372627,0.8110646747269267
mulcross.npz,3,0.9736962297458562,0.8116384197387495
mulcross.npz,4,0.9770640351906819,0.8135313221660486
nyc_taxi.npz,0,0.6192066738567994,0.6132167504667994
nyc_taxi.npz,1,0.6288538590266167,0.6188141467641352
mulcross.npz,5,0.9769024483706324,0.813968858110373
nyc_taxi.npz,2,0.6227027106393624,0.6110669567127567
nyc_taxi.npz,3,0.6026642836003954,0.6155206184937942
nyc_taxi.npz,4,0.6007064152866086,0.6182195878742022
nyc_taxi.npz,5,0.5984940765306745,0.6156121477648553
nyc_taxi.npz,6,0.6145531731672789,0.6198270706972089
nyc_taxi.npz,7,0.6230548123039747,0.6216120821688776
nyc_taxi.npz,8,0.6108886653201694,0.6122923048290844
nyc_taxi.npz,9,0.6220336888737018,0.6174614204122479
nyc_taxi_shingle.npz,0,0.6813452188068593,0.6535659294673801
nyc_taxi_shingle.npz,1,0.674993849434148,0.6518761525125732
nyc_taxi_shingle.npz,2,0.6675043379691866,0.6542668257255368
nyc_taxi_shingle.npz,3,0.6710868030699946,0.6415008568638781
nyc_taxi_shingle.npz,4,0.6778667959882215,0.6430026679276923
nyc_taxi_shingle.npz,5,0.6890732802558023,0.6425435789625356
nyc_taxi_shingle.npz,6,0.6720569063381869,0.6311288185242014
nyc_taxi_shingle.npz,7,0.6815987140910422,0.6504902633285253
nyc_taxi_shingle.npz,8,0.6653183004051326,0.6394529675234795
nyc_taxi_shingle.npz,9,0.6973732868470628,0.6510288689550092
shuttle.npz,1,0.9975335147330394,0.9230916127329912
shuttle.npz,0,0.996147481557389,0.9232400859403299
shuttle.npz,2,0.9967135272646817,0.8991835088855811
shuttle.npz,3,0.996808121257953,0.9268469349103231
shuttle.npz,5,0.9969999896159037,0.9220491950494777
shuttle.npz,4,0.9960968231625775,0.9212980225244418
mulcross.npz,6,0.9785326685113377,0.8112498645885501
mulcross.npz,7,0.9797514714861815,0.8093520053074725
shuttle.npz,7,0.9954473048165725,0.9275000958123438
shuttle.npz,6,0.996313183492366,0.9300306413311545
shuttle.npz,8,0.9974040571676112,0.9254617420842166
shuttle.npz,9,0.9968959612151133,0.9253668013296092
mulcross.npz,8,0.9779326811897849,0.8124103048605825
mulcross.npz,9,0.9781325678766881,0.8110415596661955
smtp.npz,0,0.8950786325505119,0.9029317256410794
smtp.npz,1,0.8923904435520609,0.8998018417677607
smtp.npz,2,0.9065411489322934,0.8958528688266089
smtp.npz,3,0.8923315742629075,0.8912691237586641
smtp.npz,4,0.888085801988941,0.8972876325435039
smtp.npz,5,0.8837426150579233,0.8998335540931676
smtp.npz,7,0.8619609780711898,0.8995714455914612
smtp.npz,6,0.9094588580759555,0.8934495651381676
smtp.npz,8,0.88404309372131,0.8971905682988879
smtp.npz,9,0.9029711470400662,0.8923354287996972
